,,,,,,,,layer 12,FFD,GD,GPT,TRT,nFix,,,,,,
[CLS],0.025379512,0,0,0,0,0,,,,,,,,,,,,,
mc,0.434113473,0.264367816,0.474137931,0.2700491,0.474137931,0.666666667,mcnamara,1.182031445,0.264367816,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,
##na,0.392460853,0.264367816,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,,,,,,,,
##mar,0.107397892,0.264367816,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,,,,,,,,
##a,0.248059228,0.264367816,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,,,,,,,,
was,0.236556306,0.310344828,0.310344828,0.176759411,0.310344828,0.333333333,was,0.236556306,0.310344828,0.310344828,0.176759411,0.310344828,0.333333333,,,,,,
bo,0.34186855,0.221264368,0.221264368,0.126022913,0.816091954,1,born,0.542532951,0.221264368,0.221264368,0.126022913,0.816091954,1,,,,,,
##rn,0.200664401,0.221264368,0.221264368,0.126022913,0.816091954,1,,,,,,,,,,,,,
in,0.030472321,0.364942529,0.364942529,0.207855974,0.364942529,0.333333333,in,0.030472321,0.364942529,0.364942529,0.207855974,0.364942529,0.333333333,,,,,,
san,0.290357441,0,0,0,0,0,san,0.290357441,0,0,0,0,0,,,,,,
francis,0.101905882,0.281609195,0.281609195,1,0.485632184,0.666666667,francisco,0.405789405,0.281609195,0.281609195,1,0.485632184,0.666666667,,,,,,
##co,0.303883523,0.281609195,0.281609195,1,0.485632184,0.666666667,,,,,,,,,,,,,
where,0.462201655,0,0,0,0,0,where,0.462201655,0,0,0,0,0,,,,,,
his,0.483960241,0.295977011,0.295977011,0.168576105,0.295977011,0.333333333,his,0.483960241,0.295977011,0.295977011,0.168576105,0.295977011,0.333333333,,,,,,
fa,0.321672291,0.155172414,0.155172414,0.088379705,0.155172414,0.333333333,father,0.72334221,0.155172414,0.155172414,0.088379705,0.155172414,0.333333333,,,,,,
##ther,0.401669919,0.155172414,0.155172414,0.088379705,0.155172414,0.333333333,,,,,,,,,,,,,
was,0.042519171,0,0,0,0,0,was,0.042519171,0,0,0,0,0,,,,,,
sale,0.07788492,0.364942529,0.364942529,0.207855974,0.364942529,0.333333333,sales,0.227492712,0.364942529,0.364942529,0.207855974,0.364942529,0.333333333,,,,,,
##s,0.149607792,0.364942529,0.364942529,0.207855974,0.364942529,0.333333333,,,,,,,,,,,,,
manager,0.040454954,0.206896552,0.206896552,0.117839607,0.206896552,0.333333333,manager,0.040454954,0.206896552,0.206896552,0.117839607,0.206896552,0.333333333,,,,,,
of,0.141672313,0,0,0,0,0,of,0.141672313,0,0,0,0,0,,,,,,
a,0,0,0,0,0,0,a,0,0,0,0,0,0,,,,,,
who,0.073081098,0.295977011,0.474137931,0.2700491,0.474137931,0.666666667,wholesale,0.936456643,0.295977011,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,
##les,0.57935971,0.295977011,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,,,,,,,,
##ale,0.284015834,0.295977011,0.474137931,0.2700491,0.474137931,0.666666667,,,,,,,,,,,,,
sh,0.157208577,1,1,0.569558101,1,0.333333333,shoe,0.175808668,1,1,0.569558101,1,0.333333333,,,,,,
##oe,0.018600091,1,1,0.569558101,1,0.333333333,,,,,,,,,,,,,
fi,0,0,0,0,0,0,firm,0.019898994,0,0,0,0,0,,,,,,
##rm,0.019898994,0,0,0,0,0,,,,,,,,,,,,,
[SEP],0.01033793,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
[CLS],0.024874739,0,0,0,0,0,,,,,,,,,,,,,
in,1.019256592,0,0,0,0,0,,in,1.019256592,0,0,0,0,0,,,,,
1958,0.046355523,0.366197183,0.943661972,0.306636156,1,1,,1958,0.046355523,0.366197183,0.943661972,0.306636156,1,1,,,,,
cl,0.24831304,0.718309859,0.718309859,0.233409611,0.964143426,0.5,,clooney,0.24831304,0.718309859,0.718309859,0.233409611,0.964143426,0.5,,,,,
##oon,0.336165696,0.718309859,0.718309859,0.233409611,0.964143426,0.5,,,,,,,,,,,,,
##ey,0,0.718309859,0.718309859,0.233409611,0.964143426,0.5,,,,,,,,,,,,,
left,0.066545703,0,0,0,0,0,,left,0.066545703,0,0,0,0,0,,,,,
co,0.861355543,0.577464789,0.577464789,1,0.717131474,0.5,,columbia,0.861355543,0.577464789,0.577464789,1,0.717131474,0.5,,,,,
##lu,0.207151592,0.577464789,0.577464789,1,0.717131474,0.5,,,,,,,,,,,,,
##mb,0.699508965,0.577464789,0.577464789,1,0.717131474,0.5,,,,,,,,,,,,,
##ia,0.625212014,0.577464789,0.577464789,1,0.717131474,0.5,,,,,,,,,,,,,
doi,0.143168837,0.422535211,0.422535211,0.137299771,0.239043825,0.25,,doing,0.143168837,0.422535211,0.422535211,0.137299771,0.239043825,0.25,,,,,
##ng,1.055844665,0.422535211,0.422535211,0.137299771,0.239043825,0.25,,,,,,,,,,,,,
a,0.859786034,0,0,0,0,0,,a,0.859786034,0,0,0,0,0,,,,,
number,0.410288036,0.795774648,0.795774648,0.258581236,0.450199203,0.25,,number,0.410288036,0.795774648,0.795774648,0.258581236,0.450199203,0.25,,,,,
of,0,0,0,0,0,0,,of,0,0,0,0,0,0,,,,,
re,0.698620617,1,1,0.324942792,0.565737052,0.25,,recordings,0.698620617,1,1,0.324942792,0.565737052,0.25,,,,,
##cord,0.192845702,1,1,0.324942792,0.565737052,0.25,,,,,,,,,,,,,
##ings,0.292252511,1,1,0.324942792,0.565737052,0.25,,,,,,,,,,,,,
for,0.557383895,0.471830986,0.471830986,0.153318078,0.266932271,0.25,,for,0.557383895,0.471830986,0.471830986,0.153318078,0.266932271,0.25,,,,,
mg,0.238299459,0.387323944,0.387323944,0.443935927,0.505976096,0.5,,mgm,0.238299459,0.387323944,0.387323944,0.443935927,0.505976096,0.5,,,,,
##m,0.30731523,0.387323944,0.387323944,0.443935927,0.505976096,0.5,,,,,,,,,,,,,
re,0.445012838,0.591549296,0.591549296,0.19221968,0.334661355,0.25,,records,0.445012838,0.591549296,0.591549296,0.19221968,0.334661355,0.25,,,,,
##cord,0.1385625,0.591549296,0.591549296,0.19221968,0.334661355,0.25,,,,,,,,,,,,,
##s,0.156190336,0.591549296,0.591549296,0.19221968,0.334661355,0.25,,,,,,,,,,,,,
and,0.282503307,0,0,0,0,0,,and,0.282503307,0,0,0,0,0,,,,,
the,1.07000947,0,0,0,0,0,,then,1.07000947,0,0,0,0,0,,,,,
##n,0.458230346,0,0,0,0,0,,,,,,,,,,,,,
some,0.460342824,0.725352113,0.725352113,0.235697941,0.410358566,0.25,,some,0.460342824,0.725352113,0.725352113,0.235697941,0.410358566,0.25,,,,,
for,0.948413968,0.443661972,0.443661972,0.14416476,0.250996016,0.25,,for,0.948413968,0.443661972,0.443661972,0.14416476,0.250996016,0.25,,,,,
co,0.205641478,0.415492958,0.415492958,0.135011442,0.235059761,0.25,,coral,0.205641478,0.415492958,0.415492958,0.135011442,0.235059761,0.25,,,,,
##ral,0.507218421,0.415492958,0.415492958,0.135011442,0.235059761,0.25,,,,,,,,,,,,,
re,0.851703703,0.563380282,0.563380282,0.183066362,0.3187251,0.25,,records,0.851703703,0.563380282,0.563380282,0.183066362,0.3187251,0.25,,,,,
##cord,0.308514297,0.563380282,0.563380282,0.183066362,0.3187251,0.25,,,,,,,,,,,,,
##s,0.475843012,0.563380282,0.563380282,0.183066362,0.3187251,0.25,,,,,,,,,,,,,
[SEP],0.134819627,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,in,1.019256592,0,0,0,0,0,,,,,,,,,,,,
,1958,0.046355523,0.366197183,0.943661972,0.306636156,1,1,,,,,,,,,,,,
,clooney,0.24831304,0.718309859,0.718309859,0.233409611,0.964143426,0.5,,,,,,,,,,,,
,left,0.066545703,0,0,0,0,0,,,,,,,,,,,,
,columbia,0.861355543,0.577464789,0.577464789,1,0.717131474,0.5,,,,,,,,,,,,
,doing,0.143168837,0.422535211,0.422535211,0.137299771,0.239043825,0.25,,,,,,,,,,,,
,a,0.859786034,0,0,0,0,0,,,,,,,,,,,,
,number,0.410288036,0.795774648,0.795774648,0.258581236,0.450199203,0.25,,,,,,,,,,,,
,of,0,0,0,0,0,0,,,,,,,,,,,,
,recordings,0.698620617,1,1,0.324942792,0.565737052,0.25,,,,,,,,,,,,
,for,0.557383895,0.471830986,0.471830986,0.153318078,0.266932271,0.25,,,,,,,,,,,,
,mgm,0.238299459,0.387323944,0.387323944,0.443935927,0.505976096,0.5,,,,,,,,,,,,
,records,0.445012838,0.591549296,0.591549296,0.19221968,0.334661355,0.25,,,,,,,,,,,,
,and,0.282503307,0,0,0,0,0,,,,,,,,,,,,
,then,1.07000947,0,0,0,0,0,,,,,,,,,,,,
,some,0.460342824,0.725352113,0.725352113,0.235697941,0.410358566,0.25,,,,,,,,,,,,
,for,0.948413968,0.443661972,0.443661972,0.14416476,0.250996016,0.25,,,,,,,,,,,,
,coral,0.205641478,0.415492958,0.415492958,0.135011442,0.235059761,0.25,,,,,,,,,,,,
,records,0.851703703,0.563380282,0.563380282,0.183066362,0.3187251,0.25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,in,1958,clooney,left,columbia,doing,a,number,of,recordings,for,mgm,records,and,then,some,for,coral,records
